window_idx,alpha,beta,theta,gamma
0,8.828507900319476,15.116664582806113,90.4424806021497,8.72427088915555
1,4.997504647416253,8.896899049425846,84.65281040376944,8.05869880331039
2,5.787256899961296,12.323104418493815,8.049633084162611,7.551141727603689
3,126.6446892799422,204.70593152308993,100.82779618209318,114.1193361947072
4,33.736951837233946,271.60737476022274,88.50724441229629,74.07657945811266
5,102.389618316736,190.5656360461973,159.18512428071904,75.87301449237104
6,82.46739232429272,329.84600185979053,217.6890641305296,63.5605520926389
7,56.98151318170167,311.5959678118138,154.81379191235166,82.26302558198589
8,170.8547413644982,589.6571447262326,71.83729452727981,195.23607334802284
9,14.900144707401525,91.20644761077546,23.42957597603161,44.506484793397426
10,21.33339699819496,57.3562235227235,16.806541216076425,24.35531945272366
11,67.72275898387225,472.8654534125,127.98163243529461,143.40246947125812
12,25.171630681844288,115.63611149160353,37.23473078081083,53.13817430943378
13,16.745129626093494,65.3454691093206,123.0416616737065,51.7472632633707
14,23.065827725871127,67.77411944292042,11.035067268815578,45.56787058319184
15,126.3392960213132,699.4549953068516,180.94257310819623,422.44495618993335
16,104.91170628231494,1031.4250398867105,158.83291283811877,329.2532502943746
17,145.91558249221413,1519.2247399221528,152.19486390806446,470.7736813425824
18,145.9363858346098,650.7562032218323,198.73643338982203,335.1619564563634
